publicatie_status,titel,type,org_naam,org_url,org_logo,url,omschrijving
live,"Disruptive Innovation & Business Strategy Library",Collectie,Strategyzer,https://www.linkedin.com/company/strategyzer/,https://media.licdn.com/dms/image/C4E0BAQG4YbA1Mqjr5A/company-logo_200_200/0/1648137145717/strategyzer_logo?e=1719446400&v=beta&t=l--ofnZt5oczkryYWm2iwPZeoTDYKwsm6axBy9WV6K4,https://www.strategyzer.com/library?type=Tools#library,"Ideas, learnings and methods to help you further your understanding and practice of innovation"
live,"The AI Toolbox for Innovators",Collectie,Board of Innovation,https://www.linkedin.com/company/board-of-innovation/,https://media.licdn.com/dms/image/C4E0BAQEEWUuVaBKung/company-logo_200_200/0/1654676852075/board_of_innovation_logo?e=1719446400&v=beta&t=bpS2d8KAbfP14DLsDiwigyBXWICL_M-zIOAb7oLT2Hs,https://ai.boardofinnovation.com/,"Test, pivot or generate ideas in minutes with our free AI tools."
live,"The Innovator's Toolbox",Collectie,Board of Innovation,https://www.linkedin.com/company/board-of-innovation/,https://media.licdn.com/dms/image/C4E0BAQEEWUuVaBKung/company-logo_200_200/0/1654676852075/board_of_innovation_logo?e=1719446400&v=beta&t=bpS2d8KAbfP14DLsDiwigyBXWICL_M-zIOAb7oLT2Hs,https://www.boardofinnovation.com/tools/,"The world’s largest open-source innovation toolbox to help you make what life needs next."
live,"Design Principles",Collectie,Design Principles,https://brignell.co/@designprinciples,https://cdn.masto.host/brignellco/accounts/avatars/000/000/062/original/70d14c8b7a393430.png,https://principles.design/,"An open source collection of Design Principles and methods."
live,"Switching Software",Collectie,Switching Software,https://switching.software,https://i.imgur.com/uTapMEf.png,https://switching.software,"Ethical, easy-to-use and privacy-conscious alternatives to well-known software."
live,"Shape Up",Methodiek,37signals,https://37signals.com/,https://media.licdn.com/dms/image/D4E0BAQEx-axXHhcJXg/company-logo_200_200/0/1687460878528/37signals_logo?e=1721865600&v=beta&t=VsN_ehR08NX1Opzj_r2hRk3GMmmTR2zufs4Qu-ynvEs,https://basecamp.com/shapeup,"Stop Running in Circles and Ship Work that Matters"
live,"Indieweb Projects",Collectie,Indieweb,https://indieweb.org/,https://indieweb.org/img/indiewebcamp-logo-lockup-color@1x.png,https://indieweb.org/projects,"There are many projects you can use to get your site on the IndieWeb, improve your IndieWeb support, or browse for inspiration for your own project."
live,"Hyper Island toolbox",Toolbox,Hyper Island,https://toolbox.hyperisland.com/,https://toolbox.hyperisland.com/images/fb-og.png,https://toolbox.hyperisland.com/,"This is a toolbox for anyone who wants to do things more creatively and collaboratively in their team or organization."
live,"Untools",Toolbox,Untools,https://untools.co/,https://untools.co/icons/icon-72x72.png,https://untools.co/,"Thinking tools and frameworks to help you solve problems, make decisions and understand systems."
live,"The Noun Project",Collectie,The Noun Project,https://thenounproject.com/,https://thenounproject.com/apple-touch-icon.png,https://thenounproject.com/,"Icons and Photos For Everything."
live,"Ethical Alternatives & Resources",Collectie,Ethical Network,https://ethical.net/resources/,https://ethical.net/wp-content/uploads/2023/12/ethical-logo-min3.svg,https://ethical.net/,"Ethical Alternatives & Resources"
live,"De Digitale Spoelkeuken",Collectie,Public Spaces,https://spoelkeuken.publicspaces.net/tools,https://spoelkeuken.publicspaces.net/files/logo.png,"https://www.publicspaces.net/","Overzicht van alle tools die door de Spoelkeuken zijn gehaald."
